month_num,month,duration_cate,type,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
09,Sep,72+ hours,Not Wildfire-induced,6,338718,43886,278832425090,17843810815,4138550550,192244806000,46472070848.333336,5265,1755,17002,7314.333333333333,62680,30600,4670,10446.666666666668,5490,0.03239125171971965,2.98
09,Sep,72+ hours,PSPS,1,88341,16661,731579125900,731579125900,731579125900,731579125900,731579125900,16661,16661,16661,16661,59900,59900,59900,59900,59900,0.04714968134841127,2.85
09,Sep,72+ hours,Wildfire,1,88341,16661,731579125900,731579125900,731579125900,731579125900,731579125900,16661,16661,16661,16661,59900,59900,59900,59900,59900,0.04714968134841127,2.85
09,Sep,9-24 hours,Not Wildfire-induced,25,88341,161769,8525995220,166323850,20456940,1410397330,341039808.8,3809,603,26919,6470.759999999999,20730,1370,490,829.2,830,0.4577970591231704,0.9900000000000001
09,Sep,9-24 hours,PSPS,3,54759,6885,255616880,72441720,62894080,120281080,85205626.66666667,2780,1176,2929,2295,1930,740,520,643.3333333333334,670,0.03143318906481126,0.09
09,Sep,<= 8 hours,Not Wildfire-induced,253,619166,871874,1778038280,2256750,188580,209912120,7027819.288537549,2011,507,50203,3446.1422924901194,34950,480,60,138.1422924901186,110,0.3520356414919424,1.66
09,Sep,<= 8 hours,PSPS,3,54759,8367,13628780,4448020,654840,8525920,4542926.666666667,1819,580,5968,2789,480,290,60,160,130,0.038199200131485235,0.02
09,Sep,<= 8 hours,Wildfire,10,93927,103412,287022450,7416060,717660,135022940,28702245,5768.5,832,30990,10341.2,1810,430,60,181,135,0.2752456695092998,0.09
10,Oct,25-72 hours,Not Wildfire-induced,41,619166,512795,302183770070,2905261120,199809600,62816737050,7370335855.365854,6550,640,74760,12507.19512195122,107330,4300,1460,2617.8048780487807,2500,0.20705069399805545,5.11
10,Oct,25-72 hours,PSPS,40,1822,827607,498767977440,7359679040,192485020,61453740150,12469199436,18332.5,663,67333,20690.175,112660,4310,1500,2816.5,3005,113.5574917672887,5.36
10,Oct,25-72 hours,Wildfire,6,735705,156521,40515932860,5559504720,1651677520,15663568440,6752655476.666667,19968,10357,63264,26086.833333333336,14510,3090,1690,2418.3333333333335,2395,0.053187418870335255,0.69
10,Oct,72+ hours,Not Wildfire-induced,20,1822,588154,1916093434330,55936078995,2610206430,623482116290,95804671716.5,22598.5,899,105599,29407.7,153970,15970,4830,7698.5,6760,80.7017014270033,7.32
10,Oct,72+ hours,PSPS,8,88341,174931,472979523850,46527343215,2433426210,196693064240,59122440481.25,19309,1239,52337,21866.375,71820,26470,4530,8977.5,4830,0.49504476969923367,3.42
10,Oct,9-24 hours,Not Wildfire-induced,37,619166,340630,22852140700,154393240,19202400,5131246000,617625424.3243243,5089,505,53611,9206.216216216217,32250,1360,530,871.6216216216217,810,0.13753581430504905,1.53
10,Oct,9-24 hours,PSPS,5,8220,41352,1193985590,157156240,54227040,468800890,238797118,2031,1752,23214,8270.4,3780,960,560,756,730,1.2576642335766424,0.18
10,Oct,9-24 hours,Wildfire,2,1112447,35780,842241670,421120835,373440780,468800890,421120835,17890,12566,23214,17890,1340,730,610,670,670,0.008040832507076741,0.06
10,Oct,<= 8 hours,Not Wildfire-induced,331,1822,1231174,2425602680,2140800,196560,154181040,7328104.773413898,2083,501,37043,3719.5589123867053,45730,470,60,138.1570996978852,110,168.93166849615807,2.18
10,Oct,<= 8 hours,PSPS,41,1822,462231,1324184910,8697700,715360,179150220,32297192.926829267,3131,616,62899,11273.926829268294,6820,280,60,166.34146341463415,200,63.423572996706916,0.32
10,Oct,<= 8 hours,Wildfire,5,54759,20535,15602220,2951280,662130,4874660,3120444,2438,819,10676,4107,550,170,70,110,100,0.09375171204733468,0.03
11,Nov,25-72 hours,Not Wildfire-induced,10,29159,66772,16531811260,952881485,211006640,7052889950,1653181126,3975,1483,27894,6677.2,22600,4190,1480,2260,1720,0.5724819095305052,1.0699999999999998
11,Nov,25-72 hours,PSPS,7,35492,90948,31456866000,2750978530,1190725500,17511691590,4493838000,10819,6604,30688,12992.57142857143,14210,3470,1640,2030,1740,0.6406232390397836,0.6799999999999999
11,Nov,25-72 hours,Wildfire,1,14215,2313,563118710,563118710,563118710,563118710,563118710,2313,2313,2313,2313,1870,1870,1870,1870,1870,0.040678860358775944,0.09
11,Nov,72+ hours,Not Wildfire-induced,2,63591,28556,5536980025020,2768490012510,26859335520,5510120689500,2768490012510,14278,6139,22417,14278,184140,178270,5870,92070,92070,0.11226431413250303,8.76
11,Nov,72+ hours,Wildfire,1,88341,25696,919013296680,919013296680,919013296680,919013296680,919013296680,25696,25696,25696,25696,51990,51990,51990,51990,51990,0.07271821690947577,2.4699999999999998
11,Nov,9-24 hours,Not Wildfire-induced,54,19079,284989,15082882280,118585865,17794220,3356869100,279312634.81481487,2425,578,46778,5277.574074074075,45820,1410,490,848.5185185185185,805,3.734328319094292,2.18
11,Nov,9-24 hours,PSPS,1,14215,2552,62809040,62809040,62809040,62809040,62809040,2552,2552,2552,2552,590,590,590,590,590,0.04488216672529018,0.03
11,Nov,9-24 hours,Wildfire,1,16137,11428,657965700,657965700,657965700,657965700,657965700,11428,11428,11428,11428,900,900,900,900,900,0.1770465390097292,0.04
11,Nov,<= 8 hours,Not Wildfire-induced,453,619166,1451790,3094855130,2195270,199440,293799100,6831909.779249454,1884,508,34208,3204.834437086092,62830,480,60,138.6975717439294,110,0.5861877105655027,2.9899999999999998
11,Nov,<= 8 hours,PSPS,3,8220,3134,14010600,524040,270720,13215840,4670200,926,752,1456,1044.6666666666667,600,480,60,200,60,0.09531630170316302,0.03
11,Nov,<= 8 hours,Wildfire,1,290889,2999,3612950,3612950,3612950,3612950,3612950,2999,2999,2999,2999,110,110,110,110,110,0.002577443629700676,0.01
12,Dec,25-72 hours,Not Wildfire-induced,5,58658,47852,10436576240,1517499180,1238838500,4422463920,2087315248,9823,794,20062,9570.4,10280,3950,1460,2056,1540,0.2039449009512769,0.49
12,Dec,25-72 hours,PSPS,3,303102,57383,24266801490,8818883760,973857600,14474060130,8088933830,26561,3280,27542,19127.666666666668,7330,3210,1800,2443.3333333333335,2320,0.04732977677481508,0.35000000000000003
12,Dec,25-72 hours,Wildfire,2,1233344,54103,23292943890,11646471945,8818883760,14474060130,11646471945,27051.5,26561,27542,27051.5,5530,3210,2320,2765,2765,0.010966729476934254,0.26
12,Dec,72+ hours,Not Wildfire-induced,2,58658,1783,10225362340,5112681170,2764130170,7461232170,5112681170,891.5,797,986,891.5,15560,9690,5870,7780,7780,0.007599133962971802,0.74
12,Dec,9-24 hours,Not Wildfire-induced,42,19079,422646,27478297030,100688255,15724000,4840365420,654245167.3809522,4268.5,634,73789,10063,33060,1420,490,787.1428571428571,650,5.538104722469731,1.5699999999999998
12,Dec,9-24 hours,PSPS,2,303102,14222,1090979910,545489955,420829760,670150150,545489955,7111,5409,8813,7111,2050,1040,1010,1025,1025,0.011730374593371208,0.1
12,Dec,9-24 hours,Wildfire,1,290889,133824,344443020,344443020,344443020,344443020,344443020,133824,133824,133824,133824,570,570,570,570,570,0.11501294308138156,0.03
12,Dec,<= 8 hours,Not Wildfire-induced,427,619166,1458735,3126985400,2171680,181440,164043540,7323150.819672133,1947,504,56656,3416.241217798594,60450,480,60,141.5690866510539,110,0.5889918858593657,2.88
12,Dec,<= 8 hours,PSPS,3,1233344,23795,40895100,10243800,8266860,22384440,13631700,7264,5509,11022,7931.666666666667,460,180,100,153.33333333333334,180,0.004823269096051061,0.02
12,Dec,<= 8 hours,Wildfire,7,3571222,183657,476990550,10243800,1432260,322414180,68141507.14285715,9681,1864,114006,26236.714285714283,1230,430,60,175.71428571428572,100,0.01285673363347336,0.06
