month,County,Count,TotalHU,CustomerOut,CustomerMinutes,MedCustomerMinutes,MinCustomerMinutes,MaxCustomerMinutes,AvgCustomerMinutes,MedCustomerOut,MinCustomerOut,MaxCustomerOut,AvgCustomerOut,TotalDuration,MaxDuration,MinDuration,AvgDuration,MedDuration,PctCustomerOut,PctDuration
Apr,Ventura,9,290889,35174,29656090,2159520,781480,9770400,3295121.111111111,2915,1520,10256,3908.222222222222,840,120,70,93.33333333333333,90,0.030229743991694428,0.04
Apr,Yolo,5,79713,11492,5760620,1000400,554240,2130240,1152124,1684,866,5851,2298.4,460,120,70,92,90,0.03604179995734698,0.02
Apr,Yuba,2,29477,3937,2641820,1320910,1243620,1398200,1320910,1968.5,1399,2538,1968.5,170,100,70,85,85,0.03339044000407097,0.01
Aug,Alameda,12,619166,85970,1326830350,19501430,1833540,991864320,110569195.83333334,5545,3118,18751,7164.166666666667,3370,1020,60,280.8333333333333,190,0.03471201584066309,0.16
Aug,Amador,10,19079,15468,21932250,1088340,249480,7992820,2193225,1574,682,2791,1546.8,1210,240,60,121,100,0.20268357880392054,0.06
Aug,Butte,7,88341,15068,205976730,4520300,387780,154031560,29425247.142857146,1407,651,5753,2152.5714285714284,1990,700,60,284.2857142857143,170,0.04264158205136913,0.09
Aug,Calaveras,8,29159,15819,45101190,2329600,512800,27522180,5637648.75,1345,884,4187,1977.375,1210,270,80,151.25,140,0.1356270791179396,0.06
Aug,Colusa,1,8220,562,680020,680020,680020,680020,680020,562,562,562,562,110,110,110,110,110,0.017092457420924575,0.01
Aug,Contra Costa,12,421474,72941,703431710,5468980,1740960,635451000,58619309.166666664,4788.5,3153,18733,6078.416666666667,2340,1000,60,195,130,0.043265420880054285,0.11
Aug,El Dorado,17,93927,98286,400142800,2137350,235500,217962150,23537811.76470588,1149,571,72584,5781.529411764706,4260,1150,60,250.58823529411762,150,0.261602095244179,0.2
Aug,Fresno,13,338718,37899,219168940,8090250,643800,96785150,16859149.230769232,2504,1729,5950,2915.3076923076924,2520,560,60,193.84615384615387,150,0.027972384107133368,0.12
Aug,Glenn,1,11185,903,36800400,36800400,36800400,36800400,36800400,903,903,903,903,780,780,780,780,780,0.020183281180151988,0.04
Aug,Humboldt,7,63591,12876,178203910,29640100,180360,70273590,25457701.428571425,780,501,7108,1839.4285714285713,3570,930,60,510,700,0.050620370807189695,0.16999999999999998
Aug,Kern,12,303102,31090,84151860,2111705,650100,43572600,7012655,2350.5,1664,5069,2590.8333333333335,1500,300,60,125,95,0.025643182822944092,0.06999999999999999
Aug,Kings,2,47140,4273,180266500,90133250,1056440,179210060,90133250,2136.5,539,3734,2136.5,1080,940,140,540,540,0.02266122189223589,0.05
Aug,Lake,12,35492,21830,3011304980,3349980,342080,2935170840,250942081.66666663,849.5,535,6077,1819.1666666666667,7190,4690,60,599.1666666666667,150,0.1537670460948946,0.33999999999999997
Aug,Lassen,1,12710,2176,1577880,1577880,1577880,1577880,1577880,2176,2176,2176,2176,90,90,90,90,90,0.04280094413847364,0
Aug,Los Angeles,1,3571222,18523,47293760,47293760,47293760,47293760,47293760,18523,18523,18523,18523,160,160,160,160,160,0.001296685000260415,0.01
Aug,Madera,10,51491,25145,19162570,824650,286500,7676370,1916257,925.5,581,15451,2514.5,1080,270,60,108,85,0.12208444194131013,0.05
Aug,Marin,12,112601,141702,668752020,5934020,222420,273599950,55729335,1226.5,618,61314,11808.5,3500,910,60,291.6666666666667,170,0.3146108826742214,0.16999999999999998
Aug,Mariposa,5,10512,3576,118296470,5844120,647190,74818240,23659294,609,535,1025,715.2,2470,1120,90,494,310,0.08504566210045662,0.12
Aug,Mendocino,9,41054,10987,22619550,1887150,706320,6362980,2513283.3333333335,869,702,3766,1220.7777777777778,1310,270,90,145.55555555555554,130,0.06690578262775856,0.06
Aug,Merced,8,88113,15727,23445180,1625305,361600,11275560,2930647.5,1708.5,565,4693,1965.875,950,210,60,118.75,100,0.04462167898040017,0.05
Aug,Mono,4,14215,6780,9706580,2538630,670320,3959000,2426645,1678.5,1468,1955,1695,550,200,80,137.5,135,0.11924023918396061,0.03
Aug,Monterey,34,142847,142181,1506792620,5363660,306600,562589160,44317430,1863.5,726,69169,4181.794117647059,11790,2380,60,346.76470588235287,165,0.2488344172436243,0.5599999999999999
Aug,Napa,25,54759,100037,27041717830,10785160,481920,22573161600,1081668713.1999996,2060,753,24372,4001.4800000000005,25270,13200,60,1010.8000000000002,240,0.4567148779196114,1.2
Aug,Nevada,8,54813,32367,894378320,10280930,1217340,714442680,111797290,1572,598,15266,4045.875,4310,2180,90,538.75,255,0.14762465108642112,0.21
Aug,Orange,3,1112447,55105,495333820,124633960,3940920,366758940,165111273.33333334,16090,10971,28044,18368.333333333332,810,530,60,270,220,0.012383736034166122,0.04
Aug,Placer,6,172645,13684,45065380,1541390,430200,37150720,7510896.666666666,1774,1023,4370,2280.6666666666665,790,320,60,131.66666666666666,110,0.019815227779547626,0.04
Aug,Plumas,1,16137,1727,4136000,4136000,4136000,4136000,4136000,1727,1727,1727,1727,160,160,160,160,160,0.026755282890252214,0.01
Aug,Riverside,6,867637,56739,41671680,4587030,2376660,19232940,6945280,6675,5506,22477,9456.5,570,190,60,95,85,0.01634871495798358,0.03
Aug,Sacramento,6,585981,32104,30834740,5415035,1923110,8661840,5139123.333333333,4692,3848,8851,5350.666666666667,610,130,70,101.66666666666667,105,0.013696689824414103,0.03
Aug,San Benito,2,20246,1397,784010,392005,321930,462080,392005,698.5,657,740,698.5,150,80,70,75,75,0.017250321051071816,0.01
