FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,STATEFP,PLACEFP,PLACE_FIPS,PLACE_NAME,PLACE_NAME_TYPE,COUNTYFP,CNTY_FIPS,CNTY_NAME,CNTY_NAME_TYPE,Shape_Length,Shape_Area
SHIPPEE,9333,2018-06-26,2018-06-26,11,357.3438416,6,20270,620270,Durham,Durham CDP,7,6007,Butte,Butte County,5708.720155,1446119.201
KING,11860,2018-08-06,2018-08-10,9,11.4553347,6,33588,633588,Highland,Highland city,71,6071,San Bernardino,San Bernardino County,1117.949306,46358.0948
STERLING,12772,2018-08-31,2018-09-07,9,69.4830856,6,65000,665000,San Bernardino,San Bernardino city,71,6071,San Bernardino,San Bernardino County,5516.452626,281188.0775
PASQUAL,11206,2018-07-29,2018-12-18,14,327.5861206,6,66000,666000,San Diego,San Diego city,73,6073,San Diego,San Diego County,7312.118185,1325693.962
PASQUAL,11206,2018-07-29,2018-12-18,14,327.5861206,6,59346,659346,Ramona,Ramona CDP,73,6073,San Diego,San Diego County,7312.118185,1325693.962
HUNTER,25,2018-07-30,2018-07-30,9,4.4016771,6,3316,603316,Avery,Avery CDP,9,6009,Calaveras,Calaveras County,632.1568888,17812.95525
KERLIN,1438,2018-09-04,2018-09-17,9,1752.565796,6,36098,636098,Hyampom,Hyampom CDP,105,6105,Trinity,Trinity County,18564.92832,7092382.109
HOOPER,1162,2018-06-18,2018-07-06,9,12.8057709,6,7274,607274,Bodfish,Bodfish CDP,29,6029,Kern,Kern County,1010.639676,51823.11801
WEST,2238,2018-07-06,2018-07-10,2,505.3995667,6,1192,601192,Alpine,Alpine CDP,73,6073,San Diego,San Diego County,7778.721487,2045279.488
SKYLINE,2422,2018-07-19,2018-08-03,9,281.6225281,6,16350,616350,Corona,Corona city,65,6065,Riverside,Riverside County,5960.532715,1139685.889
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,39486,639486,Lake Elsinore,Lake Elsinore city,65,6065,Riverside,Riverside County,75364.10884,93180472.22
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,39486,639486,Lake Elsinore,Lake Elsinore city,59,6059,Orange,Orange County,75364.10884,93180472.22
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,39598,639598,Lakeland Village,Lakeland Village CDP,65,6065,Riverside,Riverside County,75364.10884,93180472.22
HOLY,2664,2018-08-06,2018-10-17,9,23025.39648,6,39598,639598,Lakeland Village,Lakeland Village CDP,59,6059,Orange,Orange County,75364.10884,93180472.22
