fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0618450,Delft Colony CDP,"Delft Colony CDP, California",1512,1101,823,1040,689,377
1600000US0618464,Delhi CDP,"Delhi CDP, California",11825,1395,8064,1221,3761,1056
1600000US0618485,Delleker CDP,"Delleker CDP, California",601,270,422,211,179,166
1600000US0618506,Del Mar city,"Del Mar city, California",4331,30,2514,500,1817,502
1600000US0618590,Del Monte Forest CDP,"Del Monte Forest CDP, California",3577,423,2946,375,631,295
1600000US0618674,Del Rey CDP,"Del Rey CDP, California",1246,384,555,204,691,324
1600000US0618688,Del Rey Oaks city,"Del Rey Oaks city, California",1518,221,1076,216,442,127
1600000US0618695,Del Rio CDP,"Del Rio CDP, California",1241,435,828,411,413,427
1600000US0618856,Denair CDP,"Denair CDP, California",5702,939,4082,744,1620,556
1600000US0618926,Derby Acres CDP,"Derby Acres CDP, California",288,74,198,59,90,53
1600000US0618940,Descanso CDP,"Descanso CDP, California",1398,356,1296,336,102,108
1600000US0618982,Desert Center CDP,"Desert Center CDP, California",272,143,222,134,50,56
1600000US0618986,Desert Edge CDP,"Desert Edge CDP, California",3480,632,3110,603,370,172
1600000US0618996,Desert Hot Springs city,"Desert Hot Springs city, California",29123,116,14464,1613,14659,1637
1600000US0619022,Desert Palms CDP,"Desert Palms CDP, California",6599,962,5531,832,1068,657
1600000US0619024,Desert Shores CDP,"Desert Shores CDP, California",411,216,262,141,149,190
1600000US0619052,Desert View Highlands CDP,"Desert View Highlands CDP, California",3259,913,1655,498,1604,876
1600000US0619150,Diablo CDP,"Diablo CDP, California",834,552,834,552,0,13
1600000US0619155,Diablo Grande CDP,"Diablo Grande CDP, California",892,221,842,223,50,52
1600000US0619192,Diamond Bar city,"Diamond Bar city, California",55670,86,41775,1407,13895,1418
1600000US0619220,Diamond Springs CDP,"Diamond Springs CDP, California",11195,1138,8122,916,3073,902
1600000US0619248,Di Giorgio CDP,"Di Giorgio CDP, California",398,150,99,73,299,139
1600000US0619262,Dillon Beach CDP,"Dillon Beach CDP, California",309,158,174,101,135,125
1600000US0619318,Dinuba city,"Dinuba city, California",24246,113,12369,1323,11877,1328
1600000US0619339,Discovery Bay CDP,"Discovery Bay CDP, California",15853,1059,12974,1066,2879,960
1600000US0619402,Dixon city,"Dixon city, California",20083,49,11883,1085,8200,1080
1600000US0619406,Dixon Lane-MeadowCreek CDP,"Dixon Lane-MeadowCreek CDP, California",2755,332,2557,358,198,168
1600000US0619416,Dobbins CDP,"Dobbins CDP, California",130,140,130,140,0,13
1600000US0619440,Dogtown CDP,"Dogtown CDP, California",3006,600,2352,526,654,294
1600000US0619455,Dollar Point CDP,"Dollar Point CDP, California",909,280,601,227,308,198
1600000US0619570,Dorrington CDP,"Dorrington CDP, California",404,162,385,160,19,19
1600000US0619584,Dorris city,"Dorris city, California",867,189,604,172,263,116
1600000US0619612,Dos Palos city,"Dos Palos city, California",5239,29,3238,714,2001,716
1600000US0619654,Dos Palos Y CDP,"Dos Palos Y CDP, California",206,120,71,44,135,115
1600000US0619724,Douglas City CDP,"Douglas City CDP, California",678,208,480,160,198,145
1600000US0619766,Downey city,"Downey city, California",110575,190,56924,2104,53651,2100
1600000US0619794,Downieville CDP,"Downieville CDP, California",99,92,89,91,10,16
1600000US0619878,Doyle CDP,"Doyle CDP, California",745,303,684,303,61,64
1600000US0619976,Drytown CDP,"Drytown CDP, California",13,18,13,18,0,13
1600000US0619990,Duarte city,"Duarte city, California",21073,157,14175,1007,6898,1011
1600000US0620018,Dublin city,"Dublin city, California",62487,217,41886,1506,20601,1489
1600000US0620032,Ducor CDP,"Ducor CDP, California",708,277,658,279,50,37
1600000US0620228,Dunnigan CDP,"Dunnigan CDP, California",1391,340,915,308,476,255
1600000US0620242,Dunsmuir city,"Dunsmuir city, California",1870,234,1038,213,832,254
1600000US0620270,Durham CDP,"Durham CDP, California",6213,1101,4013,899,2200,970
1600000US0620284,Dustin Acres CDP,"Dustin Acres CDP, California",568,181,421,154,147,120
1600000US0620298,Dutch Flat CDP,"Dutch Flat CDP, California",133,52,96,48,37,34
1600000US0620424,Eagleville CDP,"Eagleville CDP, California",15,17,15,17,0,13
1600000US0620438,Earlimart CDP,"Earlimart CDP, California",8908,1256,5817,1223,3091,696
1600000US0620515,East Bakersfield CDP,"East Bakersfield CDP, California",10065,1706,2260,620,7805,1677
1600000US0620574,Eastern Goleta Valley CDP,"Eastern Goleta Valley CDP, California",28623,1578,21035,1484,7588,1158
1600000US0620598,East Foothills CDP,"East Foothills CDP, California",6745,842,5800,888,945,353
1600000US0620697,East Hemet CDP,"East Hemet CDP, California",20021,1882,11206,1444,8815,1461
1600000US0620802,East Los Angeles CDP,"East Los Angeles CDP, California",120296,3810,44238,2603,76058,3366
1600000US0620900,East Nicolaus CDP,"East Nicolaus CDP, California",172,54,92,35,80,58
1600000US0620903,East Niles CDP,"East Niles CDP, California",29703,2239,17870,1836,11833,2454
1600000US0620907,East Oakdale CDP,"East Oakdale CDP, California",2370,358,2309,346,61,78
1600000US0620928,Easton CDP,"Easton CDP, California",2224,393,1380,334,844,334
1600000US0620942,East Orosi CDP,"East Orosi CDP, California",624,309,210,182,414,311
1600000US0620956,East Palo Alto city,"East Palo Alto city, California",29271,158,14209,1457,15062,1465
1600000US0620984,East Pasadena CDP,"East Pasadena CDP, California",6003,610,4151,618,1852,388
1600000US0621012,East Porterville CDP,"East Porterville CDP, California",5383,1110,3099,922,2284,680
1600000US0621026,East Quincy CDP,"East Quincy CDP, California",2232,486,1310,340,922,461
1600000US0621034,East Rancho Dominguez CDP,"East Rancho Dominguez CDP, California",15171,1683,8990,1539,6181,868
1600000US0621061,East Richmond Heights CDP,"East Richmond Heights CDP, California",3468,447,2684,418,784,291
1600000US0621096,East San Gabriel CDP,"East San Gabriel CDP, California",22952,1255,13869,1332,9083,1053
1600000US0621138,East Shore CDP,"East Shore CDP, California",139,100,139,100,0,13
1600000US0621188,East Sonora CDP,"East Sonora CDP, California",2486,468,1845,492,641,251
1600000US0621210,East Tulare Villa CDP,"East Tulare Villa CDP, California",849,281,452,148,397,245
1600000US0621230,Eastvale city,"Eastvale city, California",65748,55,51641,2054,14107,2057
1600000US0621292,East Whittier CDP,"East Whittier CDP, California",10161,744,6583,682,3578,777
1600000US0621530,Edgewood CDP,"Edgewood CDP, California",39,33,20,12,19,34
1600000US0621544,Edison CDP,"Edison CDP, California",109,117,64,95,45,63
1600000US0621558,Edmundson Acres CDP,"Edmundson Acres CDP, California",341,162,242,140,99,76
1600000US0621565,Edna CDP,"Edna CDP, California",408,327,343,314,65,89
1600000US0621600,Edwards AFB CDP,"Edwards AFB CDP, California",2512,392,0,13,2512,392
1600000US0621691,El Adobe CDP,"El Adobe CDP, California",118,106,85,104,33,45
1600000US0621712,El Cajon city,"El Cajon city, California",100850,375,41033,2236,59817,2127
1600000US0621782,El Centro city,"El Centro city, California",43436,174,23041,1484,20395,1535
1600000US0621788,El Centro Naval Air Facility CDP,"El Centro Naval Air Facility CDP, California",244,172,0,13,244,172
1600000US0621796,El Cerrito city,"El Cerrito city, California",25151,79,14218,757,10933,746
1600000US0621810,El Cerrito CDP,"El Cerrito CDP, California",5251,998,4089,898,1162,480
1600000US0621880,El Dorado Hills CDP,"El Dorado Hills CDP, California",47091,1496,40799,1513,6292,985
1600000US0621894,Eldridge CDP,"Eldridge CDP, California",954,293,499,270,455,241
1600000US0621916,Elfin Forest CDP,"Elfin Forest CDP, California",455,192,455,192,0,13
1600000US0621936,El Granada CDP,"El Granada CDP, California",6048,931,5348,911,700,341
1600000US0621964,Elizabeth Lake CDP,"Elizabeth Lake CDP, California",1632,252,1301,246,331,158
1600000US0622006,Elk Creek CDP,"Elk Creek CDP, California",175,113,45,38,130,110
1600000US0622020,Elk Grove city,"Elk Grove city, California",172518,215,127692,3341,44826,3303
1600000US0622034,Elkhorn CDP,"Elkhorn CDP, California",998,305,784,258,214,162
1600000US0622104,El Macero CDP,"El Macero CDP, California",1086,253,1046,253,40,41
1600000US0622146,Elmira CDP,"Elmira CDP, California",234,148,36,41,198,158
1600000US0622230,El Monte city,"El Monte city, California",112590,259,47082,2415,65508,2405
1600000US0622235,El Monte Mobile Village CDP,"El Monte Mobile Village CDP, California",0,13,0,13,0,13
1600000US0622286,El Nido CDP,"El Nido CDP, California",283,134,93,80,190,113
1600000US0622300,El Paso de Robles (Paso Robles) city,"El Paso de Robles (Paso Robles) city, California",31363,52,18686,1452,12677,1450
1600000US0622328,El Portal CDP,"El Portal CDP, California",271,176,116,94,155,150
1600000US0622360,El Rancho CDP,"El Rancho CDP, California",0,13,0,13,0,13
1600000US0622370,El Rio CDP,"El Rio CDP, California",6496,944,3179,637,3317,927
1600000US0622412,El Segundo city,"El Segundo city, California",16540,50,8114,768,8426,777
1600000US0622454,El Sobrante CDP (Contra Costa County),"El Sobrante CDP (Contra Costa County), California",14727,1427,9709,1312,5018,1006
1600000US0622457,El Sobrante CDP (Riverside County),"El Sobrante CDP (Riverside County), California",13063,1343,11980,1360,1083,686
1600000US0622510,El Verano CDP,"El Verano CDP, California",3236,670,1845,501,1391,585
1600000US0622524,Elverta CDP,"Elverta CDP, California",5227,665,4229,688,998,409
1600000US0622587,Emerald Lake Hills CDP,"Emerald Lake Hills CDP, California",4842,518,4498,527,344,181
1600000US0622594,Emeryville city,"Emeryville city, California",11674,24,3228,389,8446,388
1600000US0622622,Empire CDP,"Empire CDP, California",3150,391,1731,401,1419,420
1600000US0622678,Encinitas city,"Encinitas city, California",62620,117,41458,1841,21162,1855
1600000US0622790,Escalon city,"Escalon city, California",7531,26,4921,644,2610,646
1600000US0622804,Escondido city,"Escondido city, California",148041,440,77141,3195,70900,3233
1600000US0622846,Esparto CDP,"Esparto CDP, California",4009,859,2829,814,1180,524
1600000US0622972,Etna city,"Etna city, California",740,183,441,136,299,148
1600000US0623000,Eucalyptus Hills CDP,"Eucalyptus Hills CDP, California",6435,1452,5351,1396,1084,534
1600000US0623042,Eureka city,"Eureka city, California",25704,234,12071,1122,13633,1050
1600000US0623126,Exeter city,"Exeter city, California",10355,92,6085,894,4270,886
1600000US0623150,Fairbanks Ranch CDP,"Fairbanks Ranch CDP, California",2929,1186,2208,1051,721,793
1600000US0623158,Fairfax CDP,"Fairfax CDP, California",1778,380,1439,495,339,321
1600000US0623168,Fairfax town,"Fairfax town, California",7595,35,4855,572,2740,573
1600000US0623182,Fairfield city,"Fairfield city, California",114798,312,68782,2907,46016,2885
1600000US0623196,Fairhaven CDP,"Fairhaven CDP, California",240,96,139,71,101,66
1600000US0623210,Fairmead CDP,"Fairmead CDP, California",1133,363,989,382,144,65
1600000US0623294,Fair Oaks CDP,"Fair Oaks CDP, California",30246,1503,21610,1474,8636,1079
1600000US0623350,Fairview CDP,"Fairview CDP, California",10649,845,9047,755,1602,451
1600000US0623462,Fallbrook CDP,"Fallbrook CDP, California",32178,2347,18957,1859,13221,1648
1600000US0623532,Fall River Mills CDP,"Fall River Mills CDP, California",345,216,122,114,223,182
1600000US0623616,Farmersville city,"Farmersville city, California",10842,28,7499,812,3343,820
1600000US0623630,Farmington CDP,"Farmington CDP, California",169,125,59,74,110,107
1600000US0623812,Fellows CDP,"Fellows CDP, California",54,35,48,36,6,7
1600000US0623826,Felton CDP,"Felton CDP, California",3197,482,2533,451,664,262
1600000US0623910,Ferndale city,"Ferndale city, California",1387,246,809,187,578,199
1600000US0623973,Fetters Hot Springs-Agua Caliente CDP,"Fetters Hot Springs-Agua Caliente CDP, California",3528,541,1952,445,1576,393
1600000US0623980,Fiddletown CDP,"Fiddletown CDP, California",211,139,143,114,68,85
1600000US0624008,Fieldbrook CDP,"Fieldbrook CDP, California",793,129,707,123,86,48
1600000US0624022,Fields Landing CDP,"Fields Landing CDP, California",577,585,130,207,447,644
1600000US0624092,Fillmore city,"Fillmore city, California",15437,68,10060,1032,5377,1034
1600000US0624134,Firebaugh city,"Firebaugh city, California",7746,28,3483,685,4263,689
1600000US0624218,Fish Camp CDP,"Fish Camp CDP, California",50,57,50,57,0,13
1600000US0624477,Florence-Graham CDP,"Florence-Graham CDP, California",64709,2706,25496,2606,39213,2306
1600000US0624498,Florin CDP,"Florin CDP, California",48365,2369,26022,1899,22343,2542
1600000US0624526,Floriston CDP,"Floriston CDP, California",28,28,28,28,0,13
1600000US0624568,Flournoy CDP,"Flournoy CDP, California",161,66,142,65,19,29
1600000US0624638,Folsom city,"Folsom city, California",74555,487,53882,1676,20673,1656
1600000US0624680,Fontana city,"Fontana city, California",212148,287,141795,3935,70353,3934
1600000US0624722,Foothill Farms CDP,"Foothill Farms CDP, California",35634,1782,17160,1353,18474,1652
1600000US0624750,Forbestown CDP,"Forbestown CDP, California",369,218,326,245,43,50
1600000US0624764,Ford City CDP,"Ford City CDP, California",4909,773,1936,503,2973,653
1600000US0624834,Foresthill CDP,"Foresthill CDP, California",1545,538,1095,527,450,317
1600000US0624897,Forest Meadows CDP,"Forest Meadows CDP, California",1324,405,1059,351,265,231
1600000US0624918,Forest Ranch CDP,"Forest Ranch CDP, California",1551,807,1551,807,0,13
1600000US0624960,Forestville CDP,"Forestville CDP, California",3741,671,2779,477,962,492
1600000US0625030,Fort Bidwell CDP,"Fort Bidwell CDP, California",174,78,70,41,104,64
1600000US0625058,Fort Bragg city,"Fort Bragg city, California",7092,207,2545,401,4547,453
1600000US0625086,Fort Dick CDP,"Fort Dick CDP, California",1405,352,1272,349,133,123
1600000US0625093,Fort Hunter Liggett CDP,"Fort Hunter Liggett CDP, California",95,147,0,13,95,147
1600000US0625114,Fort Irwin CDP,"Fort Irwin CDP, California",7920,959,20,65,7900,962
1600000US0625128,Fort Jones city,"Fort Jones city, California",578,140,298,104,280,123
1600000US0625296,Fortuna city,"Fortuna city, California",11992,77,6829,567,5163,564
1600000US0625300,Fort Washington CDP,"Fort Washington CDP, California",215,168,215,168,0,13
1600000US0625338,Foster City city,"Foster City city, California",32879,78,17618,932,15261,924
1600000US0625380,Fountain Valley city,"Fountain Valley city, California",55609,157,37659,1501,17950,1487
1600000US0625436,Fowler city,"Fowler city, California",6318,68,3451,558,2867,565
1600000US0625488,Franklin CDP (Merced County),"Franklin CDP (Merced County), California",7709,1215,5075,1156,2634,1000
1600000US0625506,Franklin CDP (Sacramento County),"Franklin CDP (Sacramento County), California",26,31,16,25,10,20
1600000US0625534,Frazier Park CDP,"Frazier Park CDP, California",3121,1036,2159,1041,962,437
1600000US0625576,Freedom CDP,"Freedom CDP, California",3959,948,2526,733,1433,763
1600000US0625590,Freeport CDP,"Freeport CDP, California",70,65,0,13,70,65
1600000US0626000,Fremont city,"Fremont city, California",233351,267,143718,3406,89633,3426
1600000US0626028,French Camp CDP,"French Camp CDP, California",1223,428,524,175,699,418
1600000US0626056,French Gulch CDP,"French Gulch CDP, California",441,96,357,98,84,35
1600000US0626067,French Valley CDP,"French Valley CDP, California",37818,2696,29740,2907,8078,1926
1600000US0627000,Fresno city,"Fresno city, California",516558,747,247700,5282,268858,5319
1600000US0627014,Friant CDP,"Friant CDP, California",541,157,313,119,228,150
1600000US0627080,Fruitdale CDP,"Fruitdale CDP, California",1114,445,897,447,217,130
1600000US0627130,Fruitridge Pocket CDP,"Fruitridge Pocket CDP, California",5562,954,2010,613,3552,802
1600000US0627190,Fuller Acres CDP,"Fuller Acres CDP, California",634,276,338,232,296,162
1600000US0628000,Fullerton city,"Fullerton city, California",137618,347,72492,3040,65126,3032
1600000US0628014,Fulton CDP,"Fulton CDP, California",413,312,250,217,163,261
1600000US0628021,Furnace Creek CDP,"Furnace Creek CDP, California",88,53,34,40,54,34
1600000US0628112,Galt city,"Galt city, California",26065,75,19410,1011,6655,1018
1600000US0628154,Garberville CDP,"Garberville CDP, California",1361,449,551,338,810,304
1600000US0628168,Gardena city,"Gardena city, California",58657,168,29447,1862,29210,1867
1600000US0628182,Garden Acres CDP,"Garden Acres CDP, California",10091,1169,4943,803,5148,1116
1600000US0628210,Garden Farms CDP,"Garden Farms CDP, California",418,241,297,205,121,165
1600000US0629000,Garden Grove city,"Garden Grove city, California",170795,321,92216,2846,78579,2891
1600000US0629070,Garey CDP,"Garey CDP, California",47,24,37,21,10,18
1600000US0629112,Garnet CDP,"Garnet CDP, California",5559,1860,4660,1861,899,320
1600000US0629154,Gasquet CDP,"Gasquet CDP, California",608,235,477,225,131,83
1600000US0629252,Gazelle CDP,"Gazelle CDP, California",111,54,63,34,48,41
1600000US0629350,Georgetown CDP,"Georgetown CDP, California",2827,926,2394,870,433,326
1600000US0629392,Gerber CDP,"Gerber CDP, California",1084,322,560,262,524,242
1600000US0629420,Geyserville CDP,"Geyserville CDP, California",671,165,407,129,264,136
1600000US0629504,Gilroy city,"Gilroy city, California",54815,201,35480,1702,19335,1672
1600000US0630000,Glendale city,"Glendale city, California",197554,304,71890,2685,125664,2733
1600000US0630014,Glendora city,"Glendora city, California",50098,255,35177,1450,14921,1409
1600000US0630028,Glen Ellen CDP,"Glen Ellen CDP, California",1214,886,1134,877,80,109
1600000US0630126,Glennville CDP,"Glennville CDP, California",54,41,26,25,28,32
1600000US0630282,Golden Hills CDP,"Golden Hills CDP, California",10229,1285,8074,1437,2155,667
1600000US0630339,Gold Mountain CDP,"Gold Mountain CDP, California",75,100,0,13,75,100
1600000US0630345,Gold River CDP,"Gold River CDP, California",7930,748,7223,784,707,248
1600000US0630378,Goleta city,"Goleta city, California",31907,151,17266,1304,14641,1312
1600000US0630392,Gonzales city,"Gonzales city, California",8340,27,4928,697,3412,698
1600000US0630410,Good Hope CDP,"Good Hope CDP, California",8407,1558,4168,1142,4239,1061
1600000US0630412,Goodmanville CDP,"Goodmanville CDP, California",84,104,84,104,0,13
1600000US0630420,Goodyears Bar CDP,"Goodyears Bar CDP, California",80,85,22,33,58,78
1600000US0630476,Goshen CDP,"Goshen CDP, California",5387,1133,3718,832,1669,927
1600000US0630560,Graeagle CDP,"Graeagle CDP, California",552,218,466,180,86,107
1600000US0630658,Grand Terrace city,"Grand Terrace city, California",12418,106,8397,740,4021,718
1600000US0630686,Grangeville CDP,"Grangeville CDP, California",324,213,295,208,29,39
1600000US0630693,Granite Bay CDP,"Granite Bay CDP, California",22739,1348,21035,1384,1704,506
1600000US0630703,Granite Hills CDP,"Granite Hills CDP, California",4009,864,3542,858,467,436
1600000US0630714,Graniteville CDP,"Graniteville CDP, California",14,22,14,22,0,13
1600000US0630798,Grass Valley city,"Grass Valley city, California",12206,222,4548,617,7658,628
1600000US0630812,Graton CDP,"Graton CDP, California",1722,490,1331,531,391,278
1600000US0630882,Grayson CDP,"Grayson CDP, California",1582,479,748,379,834,425
1600000US0630900,Greeley Hill CDP,"Greeley Hill CDP, California",919,230,754,229,165,112
1600000US0630938,Greenacres CDP,"Greenacres CDP, California",5247,771,3956,802,1291,583
1600000US0630944,Green Acres CDP,"Green Acres CDP, California",3845,1596,3067,1493,778,555
1600000US0630987,Greenfield CDP,"Greenfield CDP, California",3777,1188,2076,827,1701,975
1600000US0630994,Greenfield city,"Greenfield city, California",17514,33,8744,1067,8770,1070
1600000US0631029,Greenhorn CDP,"Greenhorn CDP, California",202,57,124,53,78,21
1600000US0631092,Green Valley CDP (Los Angeles County),"Green Valley CDP (Los Angeles County), California",1096,176,799,173,297,159
1600000US0631099,Green Valley CDP (Solano County),"Green Valley CDP (Solano County), California",1583,322,1452,313,131,153
1600000US0631134,Greenview CDP,"Greenview CDP, California",139,118,52,71,87,106
1600000US0631162,Greenville CDP,"Greenville CDP, California",785,260,577,215,208,171
1600000US0631246,Grenada CDP,"Grenada CDP, California",295,131,98,72,197,107
1600000US0631260,Gridley city,"Gridley city, California",7065,75,3514,807,3551,799
1600000US0631288,Grimes CDP,"Grimes CDP, California",462,245,165,143,297,211
1600000US0631302,Grizzly Flats CDP,"Grizzly Flats CDP, California",1382,741,1221,726,161,258
1600000US0631372,Groveland CDP,"Groveland CDP, California",249,115,239,119,10,16
1600000US0631393,Grover Beach city,"Grover Beach city, California",13447,37,6415,883,7032,883
1600000US0631414,Guadalupe city,"Guadalupe city, California",7654,19,3381,671,4273,672
1600000US0631470,Guerneville CDP,"Guerneville CDP, California",4747,538,3167,423,1580,473
1600000US0631540,Guinda CDP,"Guinda CDP, California",113,99,59,49,54,87
1600000US0631568,Gustine city,"Gustine city, California",5748,15,2769,845,2979,844
1600000US0631596,Hacienda Heights CDP,"Hacienda Heights CDP, California",55205,1930,42235,2037,12970,1366
1600000US0631708,Half Moon Bay city,"Half Moon Bay city, California",12583,28,7959,775,4624,775
1600000US0631883,Hamilton Branch CDP,"Hamilton Branch CDP, California",446,130,403,112,43,40
1600000US0631890,Hamilton City CDP,"Hamilton City CDP, California",2446,442,1297,370,1149,435
1600000US0631960,Hanford city,"Hanford city, California",56868,129,33808,2083,23060,2077
1600000US0632030,Happy Camp CDP,"Happy Camp CDP, California",845,178,451,135,394,138
1600000US0632036,Happy Valley CDP,"Happy Valley CDP, California",5633,1023,4560,1044,1073,644
1600000US0632044,Harbison Canyon CDP,"Harbison Canyon CDP, California",4352,575,4056,567,296,155
1600000US0632156,Hardwick CDP,"Hardwick CDP, California",152,113,45,55,107,106
1600000US0632212,Harmony Grove CDP,"Harmony Grove CDP, California",1494,563,1083,491,411,371
1600000US0632324,Hartland CDP,"Hartland CDP, California",0,13,0,13,0,13
1600000US0632340,Hartley CDP,"Hartley CDP, California",2650,475,2301,479,349,205
1600000US0632385,Hasley Canyon CDP,"Hasley Canyon CDP, California",1433,453,1307,452,126,133
1600000US0632408,Hat Creek CDP,"Hat Creek CDP, California",77,49,77,49,0,13
1600000US0632506,Hawaiian Gardens city,"Hawaiian Gardens city, California",14189,31,6068,833,8121,836
1600000US0632548,Hawthorne city,"Hawthorne city, California",84744,174,25235,1959,59509,1971
1600000US0632562,Hayfork CDP,"Hayfork CDP, California",2561,437,1266,359,1295,475
1600000US0633000,Hayward city,"Hayward city, California",155303,408,86598,2720,68705,2687
1600000US0633056,Healdsburg city,"Healdsburg city, California",11863,35,6234,882,5629,880
1600000US0633084,Heber CDP,"Heber CDP, California",8413,1199,5253,1262,3160,1039
1600000US0633182,Hemet city,"Hemet city, California",83903,212,50757,2390,33146,2365
1600000US0633294,Herald CDP,"Herald CDP, California",986,258,866,241,120,96
1600000US0633308,Hercules city,"Hercules city, California",26025,56,20742,1051,5283,1042
1600000US0633336,Herlong CDP,"Herlong CDP, California",315,134,0,13,315,134
1600000US0633364,Hermosa Beach city,"Hermosa Beach city, California",19142,24,10381,779,8761,778
1600000US0633434,Hesperia city,"Hesperia city, California",95010,103,58792,2780,36218,2771
1600000US0633504,Hickman CDP,"Hickman CDP, California",751,225,548,158,203,158
1600000US0633518,Hidden Hills city,"Hidden Hills city, California",2218,429,1953,445,265,200
1600000US0633532,Hidden Meadows CDP,"Hidden Meadows CDP, California",3663,634,3281,625,382,287
1600000US0633549,Hidden Valley Lake CDP,"Hidden Valley Lake CDP, California",5948,662,4035,670,1913,627
1600000US0633574,Highgrove CDP,"Highgrove CDP, California",6192,1088,4059,931,2133,882
1600000US0633588,Highland city,"Highland city, California",55184,119,36232,1722,18952,1723
1600000US0633632,Highlands CDP,"Highlands CDP, California",2810,390,2416,381,394,142
1600000US0633689,Hillcrest CDP,"Hillcrest CDP, California",11747,1315,5851,1030,5896,1143
1600000US0633798,Hillsborough town,"Hillsborough town, California",11608,31,10992,270,616,275
1600000US0633861,Hilmar-Irwin CDP,"Hilmar-Irwin CDP, California",5937,1089,3817,1062,2120,616
1600000US0633935,Hiouchi CDP,"Hiouchi CDP, California",266,84,266,84,0,13
1600000US0634120,Hollister city,"Hollister city, California",39982,144,24912,1643,15070,1639
1600000US0634246,Holtville city,"Holtville city, California",6129,24,3180,886,2949,890
1600000US0634281,Home Garden CDP,"Home Garden CDP, California",1590,361,800,250,790,346
1600000US0634302,Home Gardens CDP,"Home Gardens CDP, California",12014,923,8701,837,3313,657
1600000US0634316,Homeland CDP,"Homeland CDP, California",7598,1661,5604,1591,1994,589
1600000US0634392,Homestead Valley CDP,"Homestead Valley CDP, California",2619,448,1953,393,666,268
1600000US0634405,Homewood Canyon CDP,"Homewood Canyon CDP, California",241,164,232,164,9,15
1600000US0634428,Honcut CDP,"Honcut CDP, California",172,150,98,129,74,89
1600000US0634484,Hood CDP,"Hood CDP, California",289,272,239,276,50,51
1600000US0634540,Hoopa CDP,"Hoopa CDP, California",3319,650,2315,639,1004,329
1600000US0634652,Hopland CDP,"Hopland CDP, California",899,248,373,136,526,230
1600000US0634694,Hornbrook CDP,"Hornbrook CDP, California",243,71,141,57,102,54
1600000US0634708,Hornitos CDP,"Hornitos CDP, California",74,96,74,96,0,13
1600000US0634904,Hughson city,"Hughson city, California",7541,19,5211,664,2330,666
1600000US0634928,Humboldt Hill CDP,"Humboldt Hill CDP, California",3193,458,2504,452,689,267
1600000US0636000,Huntington Beach city,"Huntington Beach city, California",198780,282,113458,2854,85322,2845
1600000US0636056,Huntington Park city,"Huntington Park city, California",57615,68,17152,1313,40463,1318
1600000US0636084,Huron city,"Huron city, California",7084,26,1589,571,5495,569
1600000US0636098,Hyampom CDP,"Hyampom CDP, California",124,104,79,118,45,68
1600000US0636126,Hydesville CDP,"Hydesville CDP, California",1051,248,936,257,115,64
1600000US0636135,Hypericum CDP,"Hypericum CDP, California",160,163,133,157,27,43
1600000US0636168,Idlewild CDP,"Idlewild CDP, California",0,13,0,13,0,13
1600000US0636203,Idyllwild-Pine Cove CDP,"Idyllwild-Pine Cove CDP, California",2955,595,1917,372,1038,479
1600000US0636252,Igo CDP,"Igo CDP, California",148,121,148,121,0,13
1600000US0636280,Imperial city,"Imperial city, California",18601,54,13479,1575,5122,1577
1600000US0636294,Imperial Beach city,"Imperial Beach city, California",26312,331,7818,963,18494,980
1600000US0636350,Independence CDP,"Independence CDP, California",692,185,525,179,167,61
1600000US0636364,Indian Falls CDP,"Indian Falls CDP, California",10,17,10,17,0,13
1600000US0636420,Indianola CDP,"Indianola CDP, California",660,180,432,143,228,121
1600000US0636434,Indian Wells city,"Indian Wells city, California",5454,56,4493,495,961,489
1600000US0636448,Indio city,"Indio city, California",89070,288,64759,2399,24311,2337
1600000US0636452,Indio Hills CDP,"Indio Hills CDP, California",801,563,781,572,20,32
1600000US0636490,Industry city,"Industry city, California",249,90,26,17,223,89
1600000US0636546,Inglewood city,"Inglewood city, California",107254,866,41223,2088,66031,2233
1600000US0636613,Interlaken CDP,"Interlaken CDP, California",7392,942,5186,1017,2206,1040
1600000US0636616,Inverness CDP,"Inverness CDP, California",1497,286,1200,279,297,142
1600000US0636658,Inyokern CDP,"Inyokern CDP, California",645,296,445,273,200,140
1600000US0636672,Ione city,"Ione city, California",7351,125,5826,648,1525,652
1600000US0636735,Iron Horse CDP,"Iron Horse CDP, California",290,197,290,197,0,13
1600000US0636770,Irvine city,"Irvine city, California",265079,579,124744,4105,140335,4035
1600000US0636826,Irwindale city,"Irwindale city, California",1365,172,1104,181,261,104
1600000US0636868,Isla Vista CDP,"Isla Vista CDP, California",14286,1181,67,56,14219,1193
1600000US0636882,Isleton city,"Isleton city, California",495,125,298,97,197,88
1600000US0636910,Ivanhoe CDP,"Ivanhoe CDP, California",4584,1240,1973,530,2611,1166
1600000US0636980,Jackson city,"Jackson city, California",4637,94,2555,404,2082,403
1600000US0637022,Jacumba CDP,"Jacumba CDP, California",579,484,189,143,390,464
1600000US0637106,Jamestown CDP,"Jamestown CDP, California",3379,600,2057,522,1322,465
1600000US0637120,Jamul CDP,"Jamul CDP, California",5754,1051,5258,1021,496,218
1600000US0637134,Janesville CDP,"Janesville CDP, California",2790,423,1947,304,843,369
