fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0607378,Bonadelle Ranchos CDP,"Bonadelle Ranchos CDP, California",5191,790,4664,766,527,308
1600000US0607414,Bonita CDP,"Bonita CDP, California",12345,1489,10045,1445,2300,599
1600000US0607470,Bonny Doon CDP,"Bonny Doon CDP, California",2808,480,2382,431,426,186
1600000US0607498,Bonsall CDP,"Bonsall CDP, California",4194,528,2758,471,1436,422
1600000US0607512,Boonville CDP,"Boonville CDP, California",992,227,512,227,480,159
1600000US0607525,Bootjack CDP,"Bootjack CDP, California",431,247,220,129,211,234
1600000US0607568,Boron CDP,"Boron CDP, California",2280,392,1149,202,1131,389
1600000US0607578,Boronda CDP,"Boronda CDP, California",1740,650,682,336,1058,578
1600000US0607596,Borrego Springs CDP,"Borrego Springs CDP, California",1864,540,1713,537,151,122
1600000US0607624,Bostonia CDP,"Bostonia CDP, California",17431,2034,6593,1245,10838,1608
1600000US0607652,Boulder Creek CDP,"Boulder Creek CDP, California",5305,819,4461,855,844,381
1600000US0607694,Boulevard CDP,"Boulevard CDP, California",453,192,210,217,243,187
1600000US0607750,Bowles CDP,"Bowles CDP, California",234,167,99,99,135,166
1600000US0607848,Boyes Hot Springs CDP,"Boyes Hot Springs CDP, California",7973,1366,3096,575,4877,1259
1600000US0607946,Bradbury city,"Bradbury city, California",825,145,726,140,99,64
1600000US0607974,Bradley CDP,"Bradley CDP, California",99,61,75,48,24,37
1600000US0608058,Brawley city,"Brawley city, California",25826,94,13436,1318,12390,1321
1600000US0608100,Brea city,"Brea city, California",44067,87,28228,1354,15839,1355
1600000US0608142,Brentwood city,"Brentwood city, California",62801,163,49031,1601,13770,1619
1600000US0608172,Bret Harte CDP,"Bret Harte CDP, California",5020,941,2341,511,2679,925
1600000US0608240,Bridgeport CDP,"Bridgeport CDP, California",473,354,455,354,18,26
1600000US0608310,Brisbane city,"Brisbane city, California",4633,29,3760,301,873,309
1600000US0608338,Broadmoor CDP,"Broadmoor CDP, California",4102,834,3311,620,791,679
1600000US0608478,Brookdale CDP,"Brookdale CDP, California",1293,373,1082,373,211,129
1600000US0608506,Brooks CDP,"Brooks CDP, California",41,67,0,13,41,67
1600000US0608530,Brooktrails CDP,"Brooktrails CDP, California",4559,773,3323,731,1236,524
1600000US0608680,Buckhorn CDP,"Buckhorn CDP, California",2175,371,1762,359,413,255
1600000US0608716,Buck Meadows CDP,"Buck Meadows CDP, California",0,13,0,13,0,13
1600000US0608744,Bucks Lake CDP,"Bucks Lake CDP, California",21,34,21,34,0,13
1600000US0608758,Buellton city,"Buellton city, California",5276,51,3169,523,2107,514
1600000US0608786,Buena Park city,"Buena Park city, California",81372,189,46942,2546,34430,2530
1600000US0608828,Buena Vista CDP,"Buena Vista CDP, California",573,251,415,223,158,118
1600000US0608954,Burbank city,"Burbank city, California",102887,153,49724,2381,53163,2368
1600000US0608968,Burbank CDP,"Burbank CDP, California",5377,829,3185,818,2192,458
1600000US0609066,Burlingame city,"Burlingame city, California",29581,164,17001,1123,12580,1085
1600000US0609122,Burney CDP,"Burney CDP, California",3654,431,2421,427,1233,432
1600000US0609150,Burnt Ranch CDP,"Burnt Ranch CDP, California",185,77,177,76,8,14
1600000US0609310,Butte Creek Canyon CDP,"Butte Creek Canyon CDP, California",677,263,613,257,64,71
1600000US0609318,Butte Meadows CDP,"Butte Meadows CDP, California",25,36,25,36,0,13
1600000US0609324,Butte Valley CDP,"Butte Valley CDP, California",899,382,817,386,82,93
1600000US0609332,Buttonwillow CDP,"Buttonwillow CDP, California",1331,321,550,165,781,280
1600000US0609346,Byron CDP,"Byron CDP, California",1968,888,1346,826,622,373
1600000US0609353,Bystrom CDP,"Bystrom CDP, California",3714,614,1834,496,1880,693
1600000US0609360,Cabazon CDP,"Cabazon CDP, California",2254,638,1497,659,757,396
1600000US0609598,Calabasas city,"Calabasas city, California",23834,53,16108,971,7726,979
1600000US0609710,Calexico city,"Calexico city, California",39758,47,23528,2460,16230,2457
1600000US0609780,California City city,"California City city, California",11691,484,6587,955,5104,1107
1600000US0609822,California Hot Springs CDP,"California Hot Springs CDP, California",40,39,40,39,0,13
1600000US0609834,California Pines CDP,"California Pines CDP, California",367,174,247,140,120,123
1600000US0609835,California Polytechnic State University CDP,"California Polytechnic State University CDP, California",161,79,138,74,23,26
1600000US0609864,Calimesa city,"Calimesa city, California",9103,38,7607,613,1496,617
1600000US0609878,Calipatria city,"Calipatria city, California",3063,288,1555,357,1508,407
1600000US0609892,Calistoga city,"Calistoga city, California",5273,38,3408,641,1865,638
1600000US0609948,Callender CDP,"Callender CDP, California",1638,623,921,364,717,556
1600000US0609990,Calpella CDP,"Calpella CDP, California",620,299,545,293,75,61
1600000US0610004,Calpine CDP,"Calpine CDP, California",164,91,128,89,36,53
1600000US0610032,Calwa CDP,"Calwa CDP, California",2363,711,868,578,1495,547
1600000US0610042,Camanche North Shore CDP,"Camanche North Shore CDP, California",1188,355,1010,370,178,126
1600000US0610044,Camanche Village CDP,"Camanche Village CDP, California",1344,526,1322,528,22,43
1600000US0610046,Camarillo city,"Camarillo city, California",67484,392,43083,1734,24401,1730
1600000US0610074,Cambria CDP,"Cambria CDP, California",5550,588,4083,588,1467,294
1600000US0610088,Cambrian Park CDP,"Cambrian Park CDP, California",2968,465,2307,415,661,232
1600000US0610256,Cameron Park CDP,"Cameron Park CDP, California",18362,1102,12088,783,6274,873
1600000US0610270,Camino CDP,"Camino CDP, California",2065,395,1465,375,600,283
1600000US0610301,Camino Tassajara CDP,"Camino Tassajara CDP, California",5870,1280,5092,1244,778,480
1600000US0610345,Campbell city,"Campbell city, California",42572,162,21555,1435,21017,1397
1600000US0610494,Camp Nelson CDP,"Camp Nelson CDP, California",0,13,0,13,0,13
1600000US0610508,Campo CDP,"Campo CDP, California",3183,591,2299,568,884,620
1600000US0610554,Camp Pendleton Mainside CDP,"Camp Pendleton Mainside CDP, California",3866,1481,0,19,3866,1481
1600000US0610561,Camp Pendleton South CDP,"Camp Pendleton South CDP, California",14999,2073,0,21,14999,2073
1600000US0610676,Camptonville CDP,"Camptonville CDP, California",175,110,140,111,35,34
1600000US0610732,Canby CDP,"Canby CDP, California",33,52,0,13,33,52
1600000US0610816,Cantua Creek CDP,"Cantua Creek CDP, California",368,268,96,80,272,268
1600000US0610914,Canyondam CDP,"Canyondam CDP, California",0,13,0,13,0,13
1600000US0610928,Canyon Lake city,"Canyon Lake city, California",11225,31,8496,769,2729,769
1600000US0611040,Capitola city,"Capitola city, California",9896,98,4577,720,5319,720
1600000US0611166,Caribou CDP,"Caribou CDP, California",0,13,0,13,0,13
1600000US0611194,Carlsbad city,"Carlsbad city, California",113886,159,72348,2602,41538,2597
1600000US0611250,Carmel-by-the-Sea city,"Carmel-by-the-Sea city, California",3761,42,1871,519,1890,521
1600000US0611324,Carmel Valley Village CDP,"Carmel Valley Village CDP, California",4149,614,3127,662,1022,467
1600000US0611376,Carmet CDP,"Carmet CDP, California",0,13,0,13,0,13
1600000US0611390,Carmichael CDP,"Carmichael CDP, California",73994,2793,40791,2117,33203,2242
1600000US0611418,Carnelian Bay CDP,"Carnelian Bay CDP, California",565,235,460,223,105,90
1600000US0611446,Carpinteria city,"Carpinteria city, California",13416,35,7397,766,6019,767
1600000US0611481,Carrick CDP,"Carrick CDP, California",58,68,58,68,0,13
1600000US0611530,Carson city,"Carson city, California",90530,297,67359,1932,23171,1930
1600000US0611600,Cartago CDP,"Cartago CDP, California",49,53,5,8,44,52
1600000US0611614,Caruthers CDP,"Caruthers CDP, California",2245,467,1694,448,551,313
1600000US0611656,Casa Conejo CDP,"Casa Conejo CDP, California",3173,441,2498,400,675,267
1600000US0611691,Casa de Oro-Mount Helix CDP,"Casa de Oro-Mount Helix CDP, California",19111,1248,14534,1257,4577,757
1600000US0611696,Casa Loma CDP,"Casa Loma CDP, California",1301,427,737,395,564,304
1600000US0611754,Casmalia CDP,"Casmalia CDP, California",88,63,68,59,20,30
1600000US0611768,Caspar CDP,"Caspar CDP, California",302,196,200,179,102,106
1600000US0611782,Cassel CDP,"Cassel CDP, California",266,209,144,125,122,179
1600000US0611796,Castaic CDP,"Castaic CDP, California",18479,1098,15747,1151,2732,589
1600000US0611824,Castella CDP,"Castella CDP, California",230,62,165,53,65,32
1600000US0611915,Castle Hill CDP,"Castle Hill CDP, California",1159,334,1145,339,14,22
1600000US0611964,Castro Valley CDP,"Castro Valley CDP, California",63174,2005,44506,2065,18668,1614
1600000US0611978,Castroville CDP,"Castroville CDP, California",6315,926,2294,644,4021,843
1600000US0612048,Cathedral City city,"Cathedral City city, California",54438,129,32481,1666,21957,1656
1600000US0612062,Catheys Valley CDP,"Catheys Valley CDP, California",741,248,675,240,66,69
1600000US0612132,Cayucos CDP,"Cayucos CDP, California",2228,368,1282,315,946,218
1600000US0612146,Cazadero CDP,"Cazadero CDP, California",320,157,264,147,56,35
1600000US0612216,Cedar Flat CDP,"Cedar Flat CDP, California",886,324,707,309,179,110
1600000US0612300,Cedar Ridge CDP,"Cedar Ridge CDP, California",1267,195,1013,193,254,150
1600000US0612314,Cedar Slope CDP,"Cedar Slope CDP, California",0,13,0,13,0,13
1600000US0612328,Cedarville CDP,"Cedarville CDP, California",695,252,439,206,256,154
1600000US0612412,Centerville CDP (Fresno County),"Centerville CDP (Fresno County), California",314,178,149,144,165,124
1600000US0612415,Centerville CDP (Shasta County),"Centerville CDP (Shasta County), California",2166,340,1952,335,214,161
1600000US0612524,Ceres city,"Ceres city, California",47646,211,28638,1905,19008,1922
1600000US0612552,Cerritos city,"Cerritos city, California",49233,57,36701,1373,12532,1377
1600000US0612594,Chalfant CDP,"Chalfant CDP, California",1010,354,933,363,77,95
1600000US0612612,Challenge-Brownsville CDP,"Challenge-Brownsville CDP, California",1163,632,1014,612,149,184
