county,med_mk_pop,med_slp_pop,avg_mk_pop,avg_slp_pop,cnt,med_mk_pop_sign,med_slp_pop_sign,avg_mk_pop_sign,avg_slp_pop_sign,cnt_sign,pct_sign,county_name
Plumas County,-0.09090907871723176,-10.248251748251771,-0.08225107512303759,-17.831168831168913,7,0,-0.5856643356643936,-0.04545454680919647,-7.921328671328775,4,56.99999999999999,Plumas
Riverside County,0.42424237728118896,50.30594405594394,0.3142289218372819,80.54492613725729,326,0.6888889074325562,108.82517482517464,0.5304309150886015,136.8709121479612,183,56.00000000000001,Riverside
Sacramento County,0.48484842479228973,45.10932400932393,0.34307042980012864,69.01114156114144,74,0.6969696283340454,85.90303030303042,0.4751160011646595,100.11759658780923,47,64,Sacramento
San Benito County,0.6363635659217834,84.43006993006958,0.4429751607504758,67.67223988133067,11,0.6818180978298187,111.27773892773902,0.5484847947955132,81.80457459207447,8,73,San Benito
San Bernardino County,0.21212118864059448,24.01748251748238,0.1850707060175723,51.48632287252967,203,0.6363635659217834,88.59662004661993,0.43952833447191453,113.21704480704472,90,44,San Bernardino
San Diego County,0.333333283662796,40.856293706293684,0.27832280269550874,64.01382564803605,266,0.6060605645179749,72.9685314685314,0.4512227073658345,110.05070381814555,129,48,San Diego
San Francisco County,0.46666666865348816,38.146853146853054,0.28238760161658993,40.03696158913537,23,0.5878617167472839,68.85839160839149,0.42193114970411577,62.34300699300688,14,61,San Francisco
San Joaquin County,0.666666567325592,55.02447552447542,0.442962920665741,141.320202020202,15,0.8787877559661865,85.79370629370622,0.6792367431852553,222.16500906500906,9,60,San Joaquin
San Luis Obispo County,0.30303026735782623,16.211305361305353,0.18731377631998983,36.09044289044277,52,0.6000000238418579,73.48822843822825,0.3978354898946626,71.80546120546109,28,54,San Luis Obispo
San Mateo County,0.333333283662796,34.398601398601265,0.29385744173372724,36.87999528561313,89,0.6363635659217834,63.699300699300466,0.5364530675294923,63.586394905906964,41,46,San Mateo
Santa Barbara County,0.24242421984672544,22.460606060606107,0.19081563966733117,28.715403115403003,63,0.6363635659217834,69.8111888111884,0.3308868927340354,49.200571471539085,31,49,Santa Barbara
Santa Clara County,0.29595959186553955,24.391608391608294,0.25783670218526444,34.91776966994345,138,0.666666567325592,59.32692307692297,0.4844180846756155,63.46298650844092,66,48,Santa Clara
Santa Cruz County,0.24242421984672544,18.066433566433442,0.18622243328189308,25.481685738503792,44,0.5909090340137482,59.89510489510481,0.46201303601264954,66.36391317016306,16,36,Santa Cruz
Shasta County,0.07575756683945656,5.326923076922959,0.0729432647737364,6.418507187257086,48,0.5151514410972595,28.61538461538447,0.18747171934913187,17.514356232003177,17,35,Shasta
Sierra County,-0.5454545021057129,-31.139860139860225,-0.5454545021057129,-31.139860139860225,1,-0.5454545021057129,-31.139860139860225,-0.5454545021057129,-31.139860139860225,1,100,Sierra
Siskiyou County,-0.25757573544979095,-11.134615384615447,-0.24413675495556425,-12.908108558108626,14,-0.6666666865348816,-32.90606060606062,-0.496632973353068,-26.42952602952609,6,43,Siskiyou
Solano County,0.3030302822589874,28.169580419580193,0.23869431910238098,43.45191752691742,84,0.5757575035095215,66.37762237762217,0.4070978874251956,76.21791541791532,42,50,Solano
Sonoma County,0.13740858435630798,16.678321678321346,0.11893865494773935,18.282481620943045,91,0.6363635659217834,55.37412587412571,0.23019079118967056,41.25804195804185,36,40,Sonoma
Stanislaus County,0.21212118119001389,30.816433566433385,0.3711110848933458,74.8823776223775,10,0.8717171251773834,138.37703962703944,0.8565656095743179,179.06993006993002,4,40,Stanislaus
Sutter County,-0.3484848141670227,-14.500000000000117,-0.3144229375757277,-11.55157342657349,4,-0.5454545021057129,-23.013986013986028,-0.5454545021057129,-23.013986013986028,1,25,Sutter
Tehama County,0.09090907871723176,22.5104895104894,0.16293869489295915,26.08152150879416,11,0.5111111402511597,83.06060606060615,0.348768162727356,51.71771561771554,5,45,Tehama
Trinity County,-0.21212118864059448,-20.129370629370655,-0.004444423317909218,-4.254592074592117,5,0.09393942356109619,-3.0909090909091237,0.09393942356109619,-3.0909090909091237,2,40,Trinity
Tulare County,0.20619413256645203,25.015268065268035,0.15745067278690197,52.00085698615098,34,0.6000000238418579,92.28671328671317,0.28390573263168334,108.2650815850815,15,44,Tulare
Tuolumne County,-0.06363636255264282,-10.702913752913922,-0.15717170070856806,-39.45876456876467,10,-0.633333295583725,-66.66480186480189,-0.36717167496681213,-85.89399766899771,4,40,Tuolumne
Ventura County,0.13740858435630798,10.188811188811028,0.1418764742820158,21.187299077733737,115,0.5923422873020172,48.55419580419568,0.3580940910454455,45.27188328912454,58,50,Ventura
Yolo County,0.666666567325592,122.70303030303006,0.6343434035778045,138.00643356643346,5,0.8222222328186035,129.3076923076922,0.8148147861162821,202.32074592074585,3,60,Yolo
Yuba County,0.393939346075058,39.09790209790194,0.18451178073883057,70.77272727272724,6,0.004040449857711792,21.27878787878794,0.0797979980707168,86.6101398601399,4,67,Yuba
