FIPS_Code,County_FIPS_Code,County,State_FIPS_Code,State,value,month,year
06037,037,Los Angeles,06,CA,35291,Sep,2017
06037,037,Los Angeles,06,CA,34897,Oct,2017
06037,037,Los Angeles,06,CA,34775,Nov,2017
06037,037,Los Angeles,06,CA,34618,Dec,2017
06039,039,Madera,06,CA,960,Jan,2017
06039,039,Madera,06,CA,950,Feb,2017
06039,039,Madera,06,CA,940,Mar,2017
06039,039,Madera,06,CA,926,Apr,2017
06039,039,Madera,06,CA,931,May,2017
06039,039,Madera,06,CA,918,Jun,2017
06039,039,Madera,06,CA,931,Jul,2017
06039,039,Madera,06,CA,931,Aug,2017
06039,039,Madera,06,CA,931,Sep,2017
06039,039,Madera,06,CA,923,Oct,2017
06039,039,Madera,06,CA,920,Nov,2017
06039,039,Madera,06,CA,920,Dec,2017
06041,041,Marin,06,CA,1070,Jan,2017
06041,041,Marin,06,CA,1045,Feb,2017
06041,041,Marin,06,CA,1047,Mar,2017
06041,041,Marin,06,CA,1028,Apr,2017
06041,041,Marin,06,CA,997,May,2017
06041,041,Marin,06,CA,991,Jun,2017
06041,041,Marin,06,CA,1055,Jul,2017
06041,041,Marin,06,CA,1086,Aug,2017
06041,041,Marin,06,CA,1085,Sep,2017
06041,041,Marin,06,CA,1062,Oct,2017
06041,041,Marin,06,CA,1058,Nov,2017
06041,041,Marin,06,CA,1049,Dec,2017
06043,043,Mariposa,06,CA,187,Jan,2017
06043,043,Mariposa,06,CA,200,Feb,2017
06043,043,Mariposa,06,CA,200,Mar,2017
06043,043,Mariposa,06,CA,194,Apr,2017
06043,043,Mariposa,06,CA,198,May,2017
06043,043,Mariposa,06,CA,187,Jun,2017
06043,043,Mariposa,06,CA,189,Jul,2017
06043,043,Mariposa,06,CA,196,Aug,2017
06043,043,Mariposa,06,CA,197,Sep,2017
06043,043,Mariposa,06,CA,195,Oct,2017
06043,043,Mariposa,06,CA,208,Nov,2017
06043,043,Mariposa,06,CA,205,Dec,2017
06045,045,Mendocino,06,CA,856,Jan,2017
06045,045,Mendocino,06,CA,839,Feb,2017
06045,045,Mendocino,06,CA,826,Mar,2017
06045,045,Mendocino,06,CA,827,Apr,2017
06045,045,Mendocino,06,CA,834,May,2017
06045,045,Mendocino,06,CA,818,Jun,2017
06045,045,Mendocino,06,CA,814,Jul,2017
06045,045,Mendocino,06,CA,842,Aug,2017
06045,045,Mendocino,06,CA,836,Sep,2017
06045,045,Mendocino,06,CA,828,Oct,2017
06045,045,Mendocino,06,CA,824,Nov,2017
06045,045,Mendocino,06,CA,817,Dec,2017
